quarter,ticker,direction,entry_date,exit_date,hold_days,entry_price,exit_price,raw_return,signed_return,spy_ret,pos_alpha,score,target
2023Q2,FUSB,long,2023-05-15,2023-08-09,86,6.7944,8.1173,0.19470446249852816,0.19470446249852816,0.083280830913693,0.11142363158483516,0.7761223912239075,27.51114490139835
2023Q2,WAL,long,2023-05-08,2023-08-01,85,25.4165,47.8785,0.8837566147974742,0.8837566147974742,0.11008297954943588,0.7736736352480383,0.7654188275337219,102.9277562660106
2023Q2,BCBP,long,2023-05-04,2023-08-04,92,8.7933,10.626,0.20842004708130044,0.20842004708130044,0.10697739439130556,0.10144265268999487,0.7607674598693848,-21.83205361990074
2023Q2,DCOM,long,2023-05-08,2023-08-02,86,15.6179,20.3949,0.30586698595841944,0.30586698595841944,0.09464069638568888,0.21122628957273054,0.7597324252128601,-8.671759219771506
2023Q2,AAMI,long,2023-05-08,2023-08-08,92,22.2709,19.8449,-0.10893138579940648,-0.10893138579940648,0.09128480581456058,-0.20021619161396706,0.7439505457878113,-24.53438463298963
2023Q2,FRST,long,2023-05-10,2023-08-09,91,6.6841,8.7282,0.30581529300878196,0.30581529300878196,0.08370074102414361,0.22211455198463836,0.7361888289451599,18.70379025525321
2023Q2,ALLY,long,2023-05-02,2023-08-01,91,22.8563,27.9922,0.2247039109567165,0.2247039109567165,0.11521680074910119,0.1094871102076153,0.7358407974243164,37.69878099626048
2023Q2,INBK,long,2023-05-10,2023-08-08,90,10.2194,22.4304,1.1948842397792432,1.1948842397792432,0.09099419061235169,1.1038900491668915,0.7308712601661682,191.9227210803356
2023Q2,CNOB,long,2023-05-05,2023-08-04,91,13.1568,19.065,0.44906056183874504,0.44906056183874504,0.08685685849293943,0.3622037033458056,0.7255753874778748,13.86448721015162
2023Q2,FUNC,long,2023-05-12,2023-08-09,89,11.4912,15.3441,0.33529135338345867,0.33529135338345867,0.08701825788265118,0.2482730955008075,0.7066385746002197,57.63322370531401
2023Q2,VLY,long,2023-05-08,2023-08-07,91,6.2201,8.9649,0.4412790791144836,0.4412790791144836,0.09605113220078837,0.34522794691369524,0.7062856554985046,-16.127661877592463
2023Q2,OPRT,long,2023-05-10,2023-08-09,91,5.17,6.84,0.3230174081237911,0.3230174081237911,0.08370074102414361,0.2393166670996475,0.7021619081497192,-42.49087707305434
2023Q2,SSSS,long,2023-05-10,2023-08-09,91,3.2881,3.6377,0.10632280040144769,0.10632280040144769,0.08370074102414361,0.022622059377304077,0.6975592970848083,-17.187185939195153
2023Q2,AXS,long,2023-04-26,2023-08-01,97,53.8026,52.3042,-0.02784995520662564,-0.02784995520662564,0.13308867747058728,-0.16093863267721292,0.6958874464035034,-13.787894893924635
2023Q2,OPY,long,2023-04-28,2023-07-28,91,35.4853,38.5541,0.08648088081543613,0.08648088081543613,0.10263111805340591,-0.01615023723796978,0.6912022829055786,-13.10015062976372
2023Q2,RM,long,2023-05-05,2023-08-04,91,23.9994,28.3368,0.18072951823795588,0.18072951823795588,0.08685685849293943,0.09387265974501645,0.6879158616065979,-16.04041332188376
2023Q2,OPHC,long,2023-05-10,2023-08-09,91,3.09,2.91,-0.05825242718446593,-0.05825242718446593,0.08370074102414361,-0.14195316820860954,0.6856648921966553,12.128151032283686
2023Q2,NMR,long,2023-05-15,2023-08-14,91,3.3749,3.4117,0.01090402678597896,0.01090402678597896,0.08901600736711264,-0.07811198058113368,0.683637797832489,30.428397246544144
2023Q2,KINS,long,2023-05-15,2023-08-14,91,1.218,1.3864,0.13825944170771767,0.13825944170771767,0.08901600736711264,0.04924343434060503,0.6783316731452942,233.2932111939598
2023Q2,MCB,long,2023-05-04,2023-08-04,92,19.7302,47.9842,1.4320179217646045,1.4320179217646045,0.10697739439130556,1.325040527373299,0.6703397035598755,86.9227135100734
2023Q2,HOPE,long,2023-05-08,2023-08-08,92,6.7498,9.3357,0.38310764763400396,0.38310764763400396,0.09128480581456058,0.2918228418194434,0.6689059734344482,16.79919992932333
2023Q2,PBHC,long,2023-05-15,2023-08-09,86,11.7311,13.4628,0.14761616557697063,0.14761616557697063,0.083280830913693,0.06433533466327764,0.6672669649124146,-31.448298606124084
2023Q2,OCFC,long,2023-05-01,2023-08-03,94,13.0605,16.2876,0.24708854944297706,0.24708854944297706,0.08422731955191948,0.16286122989105759,0.6668177247047424,-16.457359083653934
2023Q2,BWFG,long,2023-05-10,2023-08-09,91,20.1486,25.6979,0.27541863950845236,0.27541863950845236,0.08370074102414361,0.19171789848430876,0.6658597588539124,-14.548364779088669
2023Q2,OPBK,long,2023-05-15,2023-08-09,86,6.7964,9.1828,0.35112706727090814,0.35112706727090814,0.083280830913693,0.26784623635721516,0.6652780771255493,7.604248941269049
2023Q2,PFSI,long,2023-05-03,2023-08-03,92,57.0526,71.5415,0.25395687488387914,0.25395687488387914,0.10413050122249394,0.14982637366138518,0.6616396903991699,23.29189163198564
2023Q2,RBB,long,2023-05-09,2023-08-08,91,8.4315,13.5692,0.6093459052363163,0.6093459052363163,0.09609159812705019,0.5132543071092661,0.6591758728027344,81.62424634609883
2023Q2,MA,long,2023-04-27,2023-07-27,91,367.1478,388.1748,0.057271213391446134,0.057271213391446134,0.10126048027463279,-0.043989266883186655,0.6570514440536499,-4.080989032066029
