quarter,ticker,direction,entry_date,exit_date,hold_days,entry_price,exit_price,raw_return,signed_return,spy_ret,sector_ret,sector_alpha,pos_alpha,score,target
2023Q1,REAL,long,2023-02-28,2023-03-31,31,1.35,1.26,-0.06666666666666672,-0.06666666666666672,0.03707785958276649,,,-0.10374452624943321,0.7687808275222778,73.05481905326165
2023Q1,GORO,long,2023-03-13,2023-03-31,18,0.85,1.05,0.2352941176470589,0.2352941176470589,0.06641198210296398,,,0.16888213554409492,0.7591509222984314,-90.02185483164575
2023Q1,SND,long,2023-02-28,2023-03-31,31,1.5511,1.5423,-0.00567339307588158,-0.00567339307588158,0.03707785958276649,,,-0.04275125265864807,0.7493686079978943,-16.861953303728843
2023Q1,PLSE,long,2023-03-16,2023-03-31,15,3.09,3.36,0.08737864077669903,0.08737864077669903,0.03747059093070916,,,0.04990804984598987,0.7448302507400513,202.58560140108213
2023Q1,OPK,long,2023-02-27,2023-03-31,32,1.13,1.46,0.29203539823008856,0.29203539823008856,0.033244877555452294,,,0.25879052067463626,0.738071858882904,-43.293397182131066
2023Q1,SPRO,long,2023-03-16,2023-03-31,15,1.47,1.45,-0.01360544217687076,-0.01360544217687076,0.03747059093070916,,,-0.051076033107579924,0.7219386100769043,-19.31383250696163
2023Q1,DOCU,long,2023-03-27,2023-03-31,4,57.17,58.3,0.019765611334615976,0.019765611334615976,0.03253563737092938,,,-0.0127700260363134,0.7168379426002502,-30.936713545445336
2023Q1,DXYN,long,2023-03-08,2023-03-31,23,0.84,0.76,-0.09523809523809519,-0.09523809523809519,0.030162625946725027,,,-0.1254007211848202,0.7112881541252136,-56.33856328551947
2023Q1,SCNX,long,2023-03-16,2023-03-31,15,3.3453,2.7566,-0.17597823812513072,-0.17597823812513072,0.03747059093070916,,,-0.2134488290558399,0.7010924816131592,405.24825606307866
2023Q1,PZG,long,2023-02-10,2023-03-31,49,0.355,0.349,-0.01690140845070424,-0.01690140845070424,0.007137883008356559,,,-0.0240392914590608,0.696407675743103,-23.48991487157312
2023Q1,UIS,long,2023-03-01,2023-03-31,30,4.77,3.88,-0.1865828092243186,-0.1865828092243186,0.041071422908732294,,,-0.22765423213305092,0.6949735879898071,-13.779130259482743
2023Q1,CRD-A,long,2023-03-06,2023-03-31,25,5.0824,7.7113,0.5172556272627105,0.5172556272627105,0.016027065273204702,,,0.5012285619895057,0.6948106288909912,104.5552293985386
2023Q1,NEPH,long,2023-03-16,2023-03-31,15,1.0,1.07,0.07000000000000006,0.07000000000000006,0.03747059093070916,,,0.0325294090692909,0.6946792602539062,85.9286434722795
2023Q1,VXRT,long,2023-03-15,2023-03-31,16,0.76,0.76,0.0,0.0,0.055673341333000316,,,-0.055673341333000316,0.6896615028381348,10.44364698502433
2023Q1,PPSI,long,2023-03-16,2023-03-31,15,2.0754,2.6565,0.2799942179820756,0.2799942179820756,0.03747059093070916,,,0.24252362705136643,0.6881265640258789,68.9334618205497
2023Q1,WVE,long,2023-02-14,2023-03-31,45,4.25,4.33,0.01882352941176472,0.01882352941176472,-0.004089477577265662,,,0.022913006989030385,0.6880175471305847,-36.07258201491156
2023Q1,CHWY,long,2023-03-22,2023-03-31,9,37.76,37.38,-0.010063559322033778,-0.010063559322033778,0.04406940559690763,,,-0.054132964918941415,0.6853995323181152,-87.6795160304894
2023Q1,CNDT,long,2023-02-22,2023-03-31,37,4.1,3.43,-0.16341463414634136,-0.16341463414634136,0.031144903422060416,,,-0.19455953756840177,0.6851747632026672,-41.04427378732863
