quarter,ticker,direction,entry_date,exit_date,hold_days,entry_price,exit_price,raw_return,signed_return,spy_ret,sector_ret,sector_alpha,pos_alpha,score,target
2023Q1,XPO,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,31.9,59.0,0.8495297805642634,0.8495297805642634,0.08680355925814522,0.0649253199135528,0.7846044606507107,0.7627262213061182,1.0,201.20915649562943
2023Q1,XRX,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,12.6088,12.4087,-0.015869868663155956,-0.015869868663155956,0.08680355925814522,0.0649253199135528,-0.08079518857670875,-0.10267342792130117,0.9874133453709959,-10.091366556258825
2023Q1,TOMZ,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,0.67,0.67,0.0,0.0,0.08680355925814522,0.0649253199135528,-0.0649253199135528,-0.08680355925814522,0.9871302457869255,-5.20928756220324
2023Q1,NSP,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,108.4949,106.6874,-0.01665976926104365,-0.01665976926104365,0.08680355925814522,0.0649253199135528,-0.08158508917459645,-0.10346332851918887,0.9831641784837521,-41.4001000438553
2023Q1,AAL,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,14.75,17.94,0.21627118644067805,0.21627118644067805,0.08680355925814522,0.0649253199135528,0.15134586652712526,0.12946762718253285,0.9797635541604812,-31.60261600314154
2023Q1,TDG,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,630.019,764.3229,0.21317436458265543,0.21317436458265543,0.08680355925814522,0.0649253199135528,0.14824904466910263,0.12637080532451023,0.9785515263565017,35.73800921593222
2023Q1,NNBR,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.07,2.39,1.233644859813084,1.233644859813084,0.08680355925814522,0.0649253199135528,1.1687195398995311,1.1468413005549387,0.9757378658969027,159.08810032536087
2023Q1,LMB,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,17.3,24.73,0.42947976878612715,0.42947976878612715,0.08680355925814522,0.0649253199135528,0.3645544488725744,0.34267620952798195,0.971068279057856,234.3060112523422
2023Q1,BV,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,5.62,7.18,0.27758007117437716,0.27758007117437716,0.08680355925814522,0.0649253199135528,0.21265475126082437,0.19077651191623196,0.9695172193486223,18.89217479992845
2023Q1,ROK,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,278.7485,314.3162,0.1275978166698655,0.1275978166698655,0.08680355925814522,0.0649253199135528,0.0626724967563127,0.04079425741172028,0.9679330012536571,-29.70126792955241
2023Q1,UUU,long,2023-03-31 23:59:59.999999,2023-06-30 23:59:59.999999,91,1.9535,1.9872,0.01725108779114413,0.01725108779114413,0.08680355925814522,0.0649253199135528,-0.047674232122408663,-0.06955247146700108,0.9676672370506907,-57.65865794820002
